                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process,ZUS Buttercreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,Average Engagement,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Repost,Reels - Share,Reels - Save,Note
1,Done,tabaanreview,https://www.tiktok.com/@tabaanreview,955K,,,TRUE,TRUE,TRUE,"สาขา Central rama 3
28 Apr 2026 - 13:00",ZUS COFFEE ออกเมนูใหม่ Buttercreme Series หอมมันนัว มีกลิ่นกาแฟเล็กๆ อร่อยมาก,https://drive.google.com/file/d/1GEzO6qUBk6JQ1QP1QI0ogREr4FDC5Dul/view?usp=drive_link,ผ่าน ตอนลงขอเพลง Background Music,0.02 เขียนใหม่เป็น Buttercreme / ขอเพิ่ม Poster ของแคมเปญ Buttercreme Series ไปในคลิปได้ไหม อาจจะตอนต้นคลิป https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz,https://drive.google.com/file/d/1zlF-n8lRXOx0Lhc-5R2GasRghdmp7YwU/view?usp=drive_link,ผ่าน,ผ่าน,"Tiktok : http://tiktok.com/@tabaanreview/video/7636458596900932882
IG Reels : https://www.instagram.com/reels/DX9hPW9PCwm/
FB : https://www.facebook.com/share/r/1J4FhxW11J/?mibextid=wwXIfr
YT : https://youtube.com/shorts/divcQAnuElE?si=hbPoGqMKdq_PMLKQ
L8 : https://s.lemon8-app.com/s/GgMwhYUYNr
Threads : https://www.threads.com/@tabaan_review/post/DX9hbtpEhVj?xmt=AQF02VVSj-hutUO82ndEA55n8TzZI2Foy1gpzx6QTugoSbIF_f9afXUSzodUrdEDEfmli9yK&slof=1",#lVOOuYgGFDT5MlwniGm7YaEmyp6os9jV3VTe36/gaPhBQT3hF5BaDWDBLVlsiO8=,"105,638","1,816",12,98,106,"12,800",187,1,10,0,0,
2,Done,review_go_around,https://www.tiktok.com/@review_go_around,1M,,,TRUE,TRUE,TRUE,"สาขา Central rama 3
28 Apr 2026 - 13:00","Buttercreme Series เมนูใหม่จาก ZUS COFFEE เมนูที่จะยกระดับประสบการณ์การดื่มกาแฟให้เหนือชั้นกว่าเดิม ราคาเริ่มต้นแก้วละ 90.- 
.
ตั้งแต่วันที่ 1-31 พ.ค. 2569 ที่ ZUS COFFEE ทุกสาขา
#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/file/d/1karQLzce4lye2pdD-mTFAcWMVXzg-YAv/view?usp=drive_link,ผ่าน ตอนลงขอเพลง Background Music,ขอเพิ่ม Poster ของแคมเปญ Buttercreme Series ไปในคลิปได้ไหม https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz,https://drive.google.com/file/d/1n5Ify4VoR261-I5v9U1bQFSUp3TJ4_TO/view?usp=drive_link,ผ่าน,ผ่่าน,"Tiktok : https://www.tiktok.com/@review_go_around/video/7636451320295083271?_r=1&_t=ZS-9673rLxtNlx
IG Reels : https://www.instagram.com/reels/DX9umWgpo99/",#EvZhhzMIWxnk2Sxy0oT2suSjgNsP0pAAXf2VdrEHTpXqwI9CMovoyObvRDLJV/M=,"161,700","1,162",10,60,39,"1,289",13,0,2,0,0,
3,Done,hungrybearrr,https://www.tiktok.com/@hungrybearrr,279K,,,TRUE,TRUE,TRUE,"สาขา Central rama 3
28 Apr 2026 - 13:00","ซุสคอฟฟี่ ออกเมนูใหม่! ซีรี่ย์บัตเตอร์เคร็ม คล้าย ๆ ครีมชีสแต่ตัวนี้มีรสกาแฟผสมนะ หอม มัน นัวร์ ๆ เข้ากันทุกเมนูเลย ☕️✨ เริ่มต้น 90 บาทเอง ไปลองกันน
📍ZUS Coffee ทุกสาขา
🗓️ ตั้งแต่วันที่ 1 - 31 พ.ค. 2569

#zuscoffee #zuscoffeeth #Buttercreme @Zuscoffee.th ",https://drive.google.com/file/d/109Hl9H-gDokCQDNPHgBTiTarPyymg9rd/view?usp=sharing,1. 0.19/0.28 ตัวหนังสือหลุดกรอ,1. 0.19/0.28 ตัวหนังสือหลุดกรอบ,https://drive.google.com/file/d/13gm9nsmBqx4nfVDvfm0qpGJojw7kOluo/view?usp=drive_link,ผ่าน,ผ่าน,Tiktok : https://www.tiktok.com/@hungrybearrr/video/7636449216365104402?_r=1&_t=ZS-9673ve95X9s,#hM7Gkm8zkebxVcGsxfNJtz1LZaQJiCHGpl5I67Z+ZWRvhZ6N8ZOgBMDctlykVuo=,"124,000","1,152",3,62,31,,,,,,,
4,Done,reviewrejai,https://www.tiktok.com/@reviewrejai,35K,,,TRUE,TRUE,TRUE,"สาขา Central Ladprao
29 Apr 2026 - 10.30","เมนูใหม่ Buttercreme Series น่ากินมาก 🥛💖
มีทั้งหมด 7 เมนู ลองแล้วชอบเลย✨

พิกัด : ZUS Coffee ทุกสาขา
สั่งผ่าน ZUS App ได้ทั้งแบบ pick up และ delivery
#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/file/d/1mI-WVWV3W6XIT6edfx6xSCOLEku74lp8/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"Tiktok : https://www.tiktok.com/@reviewrejai/video/7637317350416764180
IG Reels : https://www.instagram.com/reel/DYDupSdS6r3/?igsh=a3c2cWRla2V5Z2Rz",#h1+Yz6nuD9u6vJuNiEvuj2qTA8wmW4crrJghZYkFaN6KCcIxIVNablYsQfPUUXk=,"4,352",358,2,18,108,740,25,0,3,0,0,
5,Done,bananoeii,https://www.tiktok.com/@bananoeii,144K,,,TRUE,TRUE,TRUE,"เซ็นทรัลลาดพร้าว
1 May 2026 - 11:00",,https://drive.google.com/file/d/13Kndnj9i0X4J0xHi7ZffHklhKbKYYcUf/view?usp=drivesdk,"0.01, 0.09, 0.27, 0.36, 0.44, 0.55 - Buttercreme ขอเขียนติดกัน
0.55 - Latte เขียนตกตัว t ครับ","0.01, 0.09, 0.27, 0.36, 0.44, 0.55 - Buttercreme ขอเขียนติดกัน
0.55 - Latte เขียนตกตัว t ครับ",https://drive.google.com/file/d/1X2CKDzS0FQmkGsQ3mUCxNTtCBaQ4wy3W/view?usp=drive_link,ผ่าน,ผ่าน,Tiktok : https://www.tiktok.com/@bananoeii/video/7637094472219725064?_r=1&_t=ZS-96A1GdnnoXQ,#FKCuz9E13HAkD/cw9JfGTeOxqSyahNCFJswd75ZY8x3qV5ObBeFrwyBB+sxVgYE=,"65,000",735,18,76,97,,,,,,,
