,,1,2,3,4,5,6,7,8,,9,10,11,12,13,14,15,16,17,18,,ZUS Buttercreme Mid Month - ,,,,,,,,,,19
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process,ZUS Buttercreme - Mid Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1,025,251",0,,,,0,,,,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,Average Engagement,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Code,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Repost,Reels - Share,Reels - Save,Note
1,Done,skip.to.weekend,https://www.tiktok.com/@skip.to.weekend,446.4K,,,TRUE,TRUE,TRUE,ZUSKOLS100FFUH,"9 พ.ค. 69 - 11:00, Central พระราม 9","🥐☕️ ช่วงนี้ ZUS Coffee มี Buttercreme Series ออกใหม่
เครื่องดื่มที่ด้านบนจะมีบัตเตอร์ครีมเนียนๆ อยู่ทุกแก้ว

แล้วพิเศษคือในซีรีส์นี้
ซื้อเครื่องดื่ม 1 แก้ว
แถมมินิครัวซอง 1 ชิ้น 🥐
โปรโมชั่นมีถึงวันที่ 11–17 พ.ค. นี้เท่านั้น",https://drive.google.com/file/d/1zf4GPRVb28XZIdRr445nq3c9qjKwnXuh/view?usp=drivesdk,ผ่าน,ผ่าน,,,,Tiktok : https://www.tiktok.com/@skip.to.weekend/video/7638946556460256530,#lC2O7M83N+SS2Oam/Ah2zFon7YVr/Nb94OT9X9LJD6+ONDG0pxMJsIYnkNlY6s8=,"124,000","1,152",3,62,31,,,,,,,x
2,Done,plaifahhahaha,https://www.tiktok.com/@plaifahhahaha,109.9K,,,TRUE,TRUE,TRUE,ZUSKOLS100EJ8E,"9 พ.ค. 69 - 11:00, United Center Silom","10/10 อร่อยมากจริงๆ แบบอร่อยทุกเมนูเลยอะ ยิ่งกินกับครัวซองยิ่งเข้ากัน! 😍💖

#ปลายฟ้าาาาา #tiktokพากิน #ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME",https://drive.google.com/file/d/1jR2UkBIA-3aacuI-5VLJGd4f7U_w7ZB4/view?usp=drivesdk,0.13-0.15 Buttercreme ดูเป็นก้อนๆ ไม่แน่ใจว่าทาง ZUS อยากให้แก้ไหม,ผ่าน,,,,"Tiktok : https://www.tiktok.com/@plaifahhahaha/video/7638918120459046152
IG Reels : https://www.instagram.com/reel/DYO_43_B9zs/?igsh=aG1sc3dmZG1iYWQ",#NS5sTew7DGiwLdSQev2iaSXleFpd7YEJ0EhwLjvraDzEDjPTJ/IH9GAwnGvclMw=,"4,008",221,12,24,15,"4,200",104,0,3,4,4,x
3,Done,bananoeii,https://www.tiktok.com/@bananoeii,157.1K,,,TRUE,TRUE,TRUE,ZUSKOLS100FOB5,"9 พ.ค. 69 - 11:00, Central Ladprao",,,,,,,,Tiktok : https://vt.tiktok.com/ZSxR6tfyM/,#ugZF5g13i2DpXiLGvdrTPG1KgQxHamGiRHvIrU/yEGbgZ+PeQMn+2NN+ckp4g9w=,"109,300","1,984",13,37,39,,,,,,,
4,Done,buabibbib,https://www.tiktok.com/@buabibbib,108.8K,,,TRUE,TRUE,TRUE,ZUSKOLS1003RYW,"8 พ.ค. 69 - 18:40, สาขายิ่งเจริญ สแควร์",Buttercreme ออกใหม่ ได้มินิครัวซองมาอีก 1 ✨🤩 #อร่อยบอกต่อ #ปันโปร #บอกโปร #Zuscoffee #รีวิวคาเฟ่,https://drive.google.com/drive/folders/1bq_WstgIfI55miLOq44Vd_nVm-rFs9Sl,"1. 0.35 แก้ไขคำว่า Buttercreme เขียนแบบนี้
2. 0.52 ZUS Coffee เขียนแบบนี้ ZUS ใช้พิมพ์ใหญ่เท่านั้น","1.  0.03 - 0.06 ใส่ text หรือพูด เพิ่มว่า ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""
2. 0.35 แก้ไขคำว่า Buttercreme เขียนแบบนี้
3. 0.52 ZUS Coffee เขียนแบบนี้ ZUS ใช้พิมพ์ใหญ่เท่านั้น",https://drive.google.com/drive/folders/1bq_WstgIfI55miLOq44Vd_nVm-rFs9Sl,แก้ราคาครัวซองต์ หากแก้แล้วลงได้เลย,ผ่าน,"Tiktok : https://www.tiktok.com/@buabibbib/video/7638980715811540232
IG Reels : https://www.instagram.com/reel/DYPRXjbJg6J/?igsh=Y29taXlmM2llOHVv",#JsFECv/WbRKplCat+TQ0sCa8qpKfGNn2N+BAX5xU0VOk6xIJsLh0FYPPF8oZPLA=,"4,612",424,4,20,31,"1,146",22,0,1,0,0,x
5,Done,majourneyy,https://www.tiktok.com/@majourneyy,"8,558",,,TRUE,TRUE,TRUE,ZUSKOLS1009E6Y,"9 พ.ค. 69 - 12:00, สาขา Central Westgate","ZUS COFFEE รอบนี้จัดเต็มมาก 🤎
ซื้อ Buttercreme Series 1 แก้ว
แถมฟรีมินิครัวซองต์หอมเนย 1 ชิ้น!

เครื่องดื่มหอม นัว ครีมมี่
กินคู่ครัวซองต์คือเข้ากันสุด ๆ
สายคาเฟ่ต้องไปลองงง

#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME #ZUSCoffeeThailand #ButtercremeSeries #รีวิวคาเฟ่ #คาเฟ่ #เมนูใหม่ #กาแฟ #ครัวซองต์ #TikTokพากิน #อร่อยบอกต่อ #Majourney #มาเจอนี่",https://drive.google.com/drive/folders/1o6JqsbZx8brFEPWUulujpm79DQ7dS4qZ, 1. 0.24 คำว่าโปรโมชั่น ขาดไม่เอก,"1. 0.03  ใส่ text หรือพูด เพิ่มว่า ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท"" 
2. 0.24 คำว่าโปรโมชั่น ขาดไม่เอก",https://drive.google.com/file/d/1FgsHenOp7dWk9wxIXZ852AZADGmqKAM6/view?usp=drivesdk,0.03 แก้ราคา มินิครัวซองต์ จาก 40 เป็น 60 บาท,0.03 แก้ราคา มินิครัวซองต์ จาก 40 เป็น 60 บาท,"Tiktok : https://www.tiktok.com/@majourneyy/video/7639009604466265364?_r=1&_t=ZS-96Ip3BS3UT1
IG Reels : https://www.instagram.com/reels/DYPk46zTruz/
IG  Post : https://www.instagram.com/p/DYPkYqQk7lu/",#c5JOd/OnGyOOBGAFNX7o0v4OEFhDFMb+NtQeUGOJ+up83ldfKkbDYmAWD9hjgUw=,400,56,9,4,10,147,1,0,0,0,0,
