                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19,
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process,ZUS 49 Baht M.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1,867,845",#VALUE!,,,,0,,,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,Average Engagement,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Repost,Reels - Share,Reels - Save,Note,Post Date
/,Done,shobproth,https://www.tiktok.com/@shobproth,"1,100,000",,,TRUE,TRUE,TRUE,สาขา บ้านก้ามปู อโศก 14 พ.ค. 69 - 13:00,,https://drive.google.com/file/d/1ALeIqs129QyERBrqu0D1BPiWLzksBz2v/view,ผ่าน,"-0.18  อยากให้ Mention เพิ่มว่า ZUS เขาได้ ร่วมนโยบายกับทางสธ. (กรมอนามัย กระทรวงสาธารณสุข)ในการปรับมาตรฐานความหวานใหม่ หวานน้อยลง แต่ความอร่อยยังเหมือนเดิม ก็เลยฉลองด้วยการจัดโปรนี้ (พูดตามสไตล์ได้เลย)
+แปะ AW โปร 49 บาทไปเพิ่มช่วงที่กำลังพูดถึง https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy
",https://drive.google.com/file/d/1_2Utn1mUCv0wWO6JBrlrn0TT7eLs6yiN/view,ผ่าน,ผ่าน ลงวันที่ 16 พ.ค.ตอนค่ำ/เย็น,Tiktok : https://www.tiktok.com/@shobproth/video/7640095446039416072,#ZjqQGDeRrNnQVzViuzyAOw5bZ67LTF6/+sRj17qJw0fqUBJ5WrApY2VOt7jWPM4=,"408,100",519,1,65,77,,,,,,,KOL,16/5/69
/,Done,redprice50,https://www.tiktok.com/@redprice50,"183,900",,,TRUE,TRUE,TRUE,สาขา Central Pinklao 13 พ.ค. 69 - 14:00,"✨🧈โปรดีมาแล้ว ZUSCOFFEE พร้อมเสิร์ฟโปรดีทุกเมนูลดเหลือ 49.- เมนูปั่นลดเหลือ 69.- และเมนูใหม่ Buttercreme ก็เข้าร่วมแค่สั่งผ่าน Zus App 

วันที่ 18 -25 พ.ค.69
พิกัด: Zus App 

#ZUSCOFFEE #ZUSCOFFEETH  #ดื่มซุสไม่มีทรุด
",https://drive.google.com/file/d/1TFvSNSadhGKieATVocXe2eKUVJo_xjwv/view?usp=drivesdk,"- 0.00 ตัด text คำว่า ""ทุกเมนู"" ออก
- 0.03 ตัดเสียงพูด ""ทุกเมนู"" ออก
- 0.35 ZUS เขียนด้วยพิมพ์ใหญ่ ZUS Coffee","-0.06 ZUS App พิมพ์ใหญ่ 
-0.17 ฺbuttercreme ติดกัน
-ตรง 0.30+ อยากให้ Mention เพิ่มว่า ZUS เขาได้ ร่วมนโยบายกับทางสธ. (กรมอนามัย กระทรวงสาธารณสุข)ในการปรับมาตรฐานความหวานใหม่ หวานน้อยลง แต่ความอร่อยยังเหมือนเดิม ก็เลยฉลองด้วยการจัดโปรนี้
 + แปะ AW โปร 49 บาทไปเพิ่มช่วงที่กำลังพูดถึง https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy

- 0.35 ZUS เขียนด้วยพิมพ์ใหญ่ ZUS Coffee

พิกัด:ZUS App เเก้เป็น-> ZUS Coffee ทุกสาขา",https://docs.google.com/presentation/d/1RnVfArJrGBe985cQ7Bfzd09Nrnm5yx3YIYDJetyA8Gs/edit?usp=drivesdk,ผ่าน,ผ่าน ลงวันที่ 16 พ.ค.ตอนค่ำ/เย็น,Tiktok : https://vt.tiktok.com/ZSxNfgDhD/,#+N+a1Z+T7hhoH9Q5/WL0WzUyfTdbjt9HJz5KvBs4CNG62/YxDC7N1oNU8hujdAc=,"306,600",758,3,177,350,,,,,,,KOL,16/5/69
/,Done,tid.card,https://www.tiktok.com/@tid.card,"21,700",,,TRUE,TRUE,TRUE,สาขายิ่งเจริญ สแควร์ 13 พ.ค. 69 - 15:00,"แรงมาก! กาแฟพรีเมียมเมล็ดระดับแชมป์แค่ 49.-! 🌟
📍 ZUS Coffee จัดโปรแรง 8 วันเท่านั้น! สั่งผ่าน ZUS App (ได้ทั้ง Pickup/Delivery)
✅️ เมนูเย็น 49.- ✅️ เฟรปเป้ 69.- ทุกสาขา รีบพุ่งตัวด่วน 🗓 18-25 พ.ค. นี้เท่านั้น!
.
​#ZUSCOFFEE #ZUSCOFFEETH  #ดื่มซุสไม่มีทรุด",https://drive.google.com/file/d/1LrZhKSyjy2e1t9uE1PEd4gufiVs59042/view?usp=sharing,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSxY77Ft8/
IG Reels : https://www.instagram.com/reel/DYcVkdmTfu0/?igsh=d3pybW1rYTlzY3Vk",#CaVmhSyhya07WKDqpLO7GTAj6Iknd4yGetb1achc4bfqIsJycWVKMC+LtUjmnik=,"4,070",140,4,13,17,761,27,0,3,0,0,KOL,17/5/69
/,Done,reviewrejai,https://www.tiktok.com/@reviewrejai,"35,600",,,TRUE,TRUE,TRUE,สาขา บ้านก้ามปู อโศก 13 พ.ค. 69 - 15:00,"ZUS COFFEE จัดโปรแรง  49.- / 69.- ทุกแก้ว ✨
ฉลองมาตรฐานความหวานใหม่ ความหวานลดลง แต่ยังอร่อยเท่าเดิม 🥳🤩

วันที่ 18-25 พ.ค. 69
พิกัด : ZUS COFFEE ทุกสาขา ( สั่งผ่าน ZUS App แบบ Pickup และแบบ delivery)

@ZUSCOFFEE.TH
#ZUSCOFFEE # ZUSCOFFEETH
 #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1my-as0ymUcTGkWKUIIwW0anKY3NrxO_i,,"0.43 สื่อสารว่า 8 วัน จาก 7 วัน 
หลังจาก 0.12 อยากให้ Mention เพิ่มว่า ZUS เขาได้ ร่วมนโยบายกับทางสธ. (กรมอนามัย กระทรวงสาธารณสุข)ในการปรับมาตรฐานความหวานใหม่ หวานน้อยลง แต่ความอร่อยยังเหมือนเดิม ก็เลยฉลองด้วยการจัดโปรนี้ (พูดตามสไตล์ได้เลย)
+แปะ AW โปร 49 บาทไปเพิ่มช่วงที่กำลังพูดถึง https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy",https://drive.google.com/file/d/1j1yS-Aab11EPFrj0cYqj40T5Ctl0OHyV/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxj8nDqG/
IG Reels : https://www.instagram.com/reel/DYcWx0EyEzF/?igsh=Z3c0NDAxZGxvZHM=",#5HHFf7QEmy2CK7PllHoaQFzyM6bW3psaNz97OcfnuA1X2Thr7Xz3954bMOhpl7A=,"4,587",313,1,10,123,754,25,2,2,0,0,KOL,17/5/69
/,Done,naesuuu,https://www.tiktok.com/@naesuuu,"65,700",,,TRUE,TRUE,TRUE,สาขา Central Rama 3 14 พ.ค. 69 - 13:30,ZUS COFFEE ทำโปรมาจึ้งไม่ไหว ให้เต็มไม่หัก 🫶🏻✨ #ZUSCOFFEE #ZUSSCOFFEETH #ดื่ม ZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/file/d/1hUIGRcluGXZRSbzw8rbczBtxykY9VoJU/view?usp=drivesdk,,"0.03 ใส่ text 49.- 
0.09 ใส่ text 69.- ",https://drive.google.com/file/d/1QksdKB6ZyHqb_DaF1bQXBi1iV--HGG6E/view?usp=drivesdk,ผ่าน,ผ่่าน,"Tiktok : https://vt.tiktok.com/ZSxY7yx2M/
IG Reels : https://www.instagram.com/reel/DYcVuYPvi2i/?igsh=ZzAyM3NuZzA4Nmx4",#bWPHO1aG0t8FPs0ZqqSFdWX3b46HAXKJIfAq2BPuJffZuEEciSOHzP13IuUSab4=,"89,700","9,866",21,"2,214","2,352",331,7,0,0,0,0,KOL,17/5/69
