                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19,,,,
Status,Project,,จำนวนอินฟลูฯ,Shooting Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process, ZUS x อ้วยอันโอสถ,,KOL 2 | KOC 20,27-28/6/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,KOC Comfirmed,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1,593,954",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,20,,,0,0,20,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Confirm,Brand Confirm,Phase,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Zus Coffee Comment (Draft 3),Link Post,Gen Code,TikTok Views,TikTok Likes,TikTok Comments,TikTok Shares,TikTok Saves,Reels Views,Reels Likes,Reels Comments,Reels - Repost,Reels Shares,Reels Saves,Note,,,,
KOL1,cancel,milcll,https://www.tiktok.com/@milcll,"20,600",,,,,,TRUE,FALSE,TRUE,,"Vanit Place อารีย์
7 ก.ค. 69 - 14.00",,,,,,,,,,,,,"6,269",382,6,11,25,,,,,,,KOL Office,,,,
KOL2,cancel,pailongdo,https://www.tiktok.com/@pailongdo,"156,700",,,,,,TRUE,FALSE,TRUE,,"Central พระราม 9
6 ก.ค. 69 - 14.00",,,,,,,,,,,,,"12,831",982,4,24,31,"1,463",14,0,,-,-,KOL Foodie,,,,
KOL3,cancel,beebiegin,https://www.tiktok.com/@beebiegin,"431,100",,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู​ (อโศก)
1 ก.ค. 69 - 11.00",,,,,,,,,,,,,"327,918","4,283",42,"2,131","1,161",472,12,0,,-,-,KOL Foodie,,,,
KOL1,cancel,puppip.s,https://www.tiktok.com/@puppip.s,"63,400",,,,,,TRUE,,FALSE,,TBC,,,,,,,,,,,,,,,,,,,,,,,,KOL Wellness,,,,
KOL1,Done,nookhalaoo,https://www.tiktok.com/@nookhalaoo,"297,100",,,,,,TRUE,FALSE,TRUE,,"Vanit Place อารีย์
28 มิ.ย. 69 - 14.00","ZUS Coffee วันนี้ไม่ได้มีแค่เครื่องดื่ม
เพราะเค้าคอลแลปกับ อ้วยอันโอสถได้เคส + ยาดมมังกรทอง
ฟรี! #zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1skv9AmATH_UqKPFsPzx4_QESbCyFRvRw/view?usp=drivesdk,อยากให้เอาตอน 1.44 ที่พูดว่าใจเจ็บขึ้นมาตอน 1.18 แทน,อยากให้เอาตอน 1.44 ที่พูดว่าใจเจ็บขึ้นมาตอน 1.18 แทน,https://drive.google.com/file/d/1HZFA0FtoIjmdqA1Nss3oVlUMH_r90vPH/view?usp=sharing,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCX5kB6F/
IG Reels: https://www.instagram.com/reel/DaU8OkLKNvm/?igsh=ZmRrb2IweDQ1Ymp4",Gen Code (TikTok): #0SnIqBVQC+/fJk0H9aBl35NakKDdrQ0tDUA5EMeyF63vwby9OkGaYQgbpEnfebo=,"11,762",771,3,10,15,"1,928",77,0,2,0,0,KOL Activity Sport,,,,
KOL1,cancel,Cookicookieee,https://www.tiktok.com/@Cookicookieee,"56,200",,,,,,TRUE,FALSE,FALSE,,TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
