                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
Status,Project,,จำนวนอินฟลูฯ,Shooting Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process, ZUS x อ้วยอันโอสถ,,KOC 15 + 2 (From Phase 3),11-12/7/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,KOC Comfirmed,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,,
,,,,"305,325",0,0,0,0,0,,,20,,,0,0,19,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Confirm,Brand Confirm,Phase,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Zus Coffee Comment (Draft 3),Link Post,Gen Code,TikTok Views,TikTok Likes,TikTok Comments,TikTok Shares,TikTok Saves,Reels Views,Reels Likes,Reels Comments,Reels - Repost,Reels Shares,Reels Saves,Note
1,,superlinllyn,https://www.tiktok.com/@superlinllyn,"8,469",,,,,,TRUE,,,4,"Central พระราม 9
11 ก.ค. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
2,,m1ntmk,https://www.tiktok.com/@m1ntmk,"6,203",,,,,,TRUE,,,4,"Vanit Place อารีย์
11 ก.ค. 69 - 16.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
3,,ellellyyy,https://www.tiktok.com/@ellellyyy,"10,400",,,,,,TRUE,,,4,"Central พระราม 9
11 ก.ค. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
1,Done,ninew.kwanchanok,https://www.tiktok.com/@ninew.kwanchanok,"265,900",,,,,,TRUE,,TRUE,4,"Central พระราม 9
11 ก.ค. 69 - 14.00","โค้งสุดท้ายก่อนหมดโปร! 🥤✨ ZUS Coffee x ยาดมมังกรทองอ้วยอัน 💙 สั่งเมนูครบ 150.- ผ่าน ZUS App รับของฟรีไปเลย! ใครยังไม่ได้ลอง รีบก่อนหมดโปรสิ้นเดือนนี้นะ 🐉🔥

#ZUSCoffee #ยาดมมังกรทองอ้วยอัน #matcha #รีวิวคาเฟ่ #รีวิวเครื่องดื่ม",https://drive.google.com/file/d/13Il88tBPeodDbada3gL_oQ7buRi8ZbTi/view?usp=drivesdk,"- 0.35 เพิ่ม Text ชื่อ Menu  ตามที่พูด Coconut Matcha
- 0.39  เพิ่ม Text ชื่อ Menu  Buttercreme Coconut
- แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป","- 0.35 เพิ่ม Text ชื่อ Menu  ตามที่พูด Coconut Matcha
- 0.39  เพิ่ม Text ชื่อ Menu  Buttercreme Coconut
- แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป",https://drive.google.com/file/d/1FLw05xEiQBgU4xJay6NMx8hjodSWIIjV/view,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXQ5a6rF/
IG Reels: https://www.instagram.com/reel/DbAN4Q4gLCo/
IG Post: https://www.instagram.com/reel/DbAN4Q4gLCo/
IG Story: https://www.instagram.com/reel/DbAN4Q4gLCo/",Gen Code (TikTok): #1an+15JAJT2mZRqfGYTsV/dIM9rhvPhg7kgSErT4E2U2wPUJwvqrxomQX5iP8JM=,"12,997",76,9,2,5,539,20,11,0,0,0,
5,,tu_story,https://www.tiktok.com/@tu_story,"3,662",,,,,,TRUE,,,4,"Central พระราม 9
11 ก.ค. 69 - 14.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
