                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
Status,Project,,จำนวนอินฟลูฯ,Shooting Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process,ZUS Cloud 11,,KOC 5,16/7/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,,,,
,,,,"5,463",0,0,,,,,,6,0,6,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Suggest,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Zus Coffee Comment (Draft 3),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
1,Done,chobell,https://www.tiktok.com/@chobell,63K,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 14:00,"✨☕ มาเจอร้านโปรดแห่งใหม่ที่ Cloud 11 แล้ววว~

แวะ ZUS Coffee สาขา Cloud 11 ชั้น 1 (สาขาที่ 22) บรรยากาศร้านน่านั่งมาก มี Free Wi-Fi จะมานั่งทำงาน เม้าท์กับเพื่อน หรือพักระหว่างวันก็ชิลสุด 💙
🎉 พิเศษสำหรับ ผู้ใช้ใหม่ สั่งผ่าน ZUS App รับโปร 1 แถม 1 คุ้มมากกก รีบไปกันน้า 💙✨

📍ZUS Coffee สาขา Cloud 11 ชั้น 1

#ZUSCoffee #ZUSCoffeeTH #Cloud11 #GrandOpening #CoffeeLover
",https://drive.google.com/drive/folders/1xftgR5X0cd7LWZJYWYleU1c08GAlzlbf,ผ่าน,ผ่าน,,,,,,,"IG Reels: https://www.instagram.com/reel/DbCnrPlA3t6/
IG Story: https://www.instagram.com/stories/cbxpws/3945891949675907058
IG Post: https://www.instagram.com/p/DbCn4cZGujj/
TikTok Video: https://vt.tiktok.com/ZSX4UnG9w/",Gen Code (TikTok): #/wIxPo71C8DtWqEsH+r5WjameSLdUZO7OukDVKhQdXx6eQgwGq9RXA+rpuHT7jg=,"5,498",237,5,3,0,170,3,0,0,0,0,
2,Done,proyyyp,https://www.tiktok.com/@proyyyp,47.6K,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 16:00,ห้ามพลาดเด็ดขาด📍ZUS COFFEE ฉลองเปิดสาขาใหม่สาขาที่ 22 cloud 11 รอบนี้มีโปรหนึ่งแถมหนึ่งคุ้มมาก💙🧋 #ZUSCoffee #ZUSCoffeeTH #Cloud11 ,https://drive.google.com/drive/folders/1fOrN8hdWd9r8mqBl2797vGO4Trgz4XPk,"- 0.13 แก้คำผิด ผู้ใช่ใหม่ เป็น ผู้ใช้ใหม่
",- 0.13 แก้คำผิด ผู้ใช่ใหม่ เป็น ผู้ใช้ใหม่,https://drive.google.com/file/d/1XZhKJXqm6ywEWtJkbeqgMtgdSCwnASx7/view?usp=drivesdk,,ผ่าน,,,,"IG Reels: https://www.instagram.com/reel/DbDm9toBBAJ/
IG Story: https://www.instagram.com/stories/proyyyp/3946225651144585299
IG Post: https://www.instagram.com/p/DbDz0NEAY1j/
TikTok Video: https://vt.tiktok.com/ZSXqd3hgu/",Gen Code (TikTok): #dMRkbk0aXcwUk7veSIptKzpj68GDTS8INe+rNpkn3gD+TCpU1GkCmTiO3H77uOc=,"2,163",36,7,6,11,604,6,0,0,0,0,
3,Done,boobaiiyook,https://www.tiktok.com/@boobaiiyook,21.4K,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 17:00,Zus coffee มาเปิดสาขาใหม่ที่ Cloud 11 มีโปรโมชั่นหนึ่งแถมหนึ่งอยู่คือต้องจัดแล้วเลิศเลยล่ะ  #ZUSCoffee #ZUSCoffeeTH #Cloud11 ,https://drive.google.com/drive/folders/1U6lvf-qbWUBBR_JMnlF2j3d-MMLRe5o6,ผ่าน,ผ่าน,,,,,,,"IG Reels: https://www.instagram.com/reel/DbCls2qP903/
IG Story: https://www.instagram.com/stories/baiiyook_/3945883414175911091
IG Post: https://www.instagram.com/p/DbCmM99D5m2/
TikTok Video: https://vt.tiktok.com/ZSX4AH5jR/",Gen Code (TikTok): #hVd88m+vCqJYOZb+KMxrOnRn0VVejFwlnOaml1cAfW/NF9zqly1ourgVKs2zEFE=,"2,689",53,25,8,4,"1,154",3,0,0,0,0,
4,Done,fonnonale,https://www.tiktok.com/@fonnonale,17.4K,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 17:00,ZUS Coffee ฉลองเปิดสาขาใหม่ที่ Cloud 11 ผู้ใช้ใหม่สั่งผ่าน ZUS App ซื้อ 1 แถม 1 ด้วย!  #ZUSCoffee #ZUSCoffeeTH #Cloud11 ,https://drive.google.com/file/d/1PKO_66P7TZPUY9hWZwEFzEsR4EmI7jvv/view?usp=drivesdk,"- 0.03/0.07/0.23 แก้ไข VO จากที่พุดว่าคลาวด์สิบเอ้ด เป็น คลาวด์อีเลฟเว่น
- 0.17/0.20 แก้ Vo จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม","- 0.03/0.07/0.23 แก้ไข VO จากที่พุดว่าคลาวด์สิบเอ้ด เป็น คลาวด์อีเลฟเว่น
- 0.17/0.20 แก้ Vo จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม",https://drive.google.com/file/d/1ILJ_HAgm2_7lwV_b0al2qD8B31wibN5x/view?usp=drivesdk,,ผ่าน,,,,"IG Reels: https://www.instagram.com/reel/DbClOhmAgy3/
IG Story: https://www.instagram.com/stories/fonnonale/3945893092875328009
IG Post: https://www.instagram.com/p/DbCoMG8mr0a/
TikTok Video: https://vt.tiktok.com/ZSX4y5Ss6/",Gen Code (TikTok): #CVTX7NBbMrgyk2A4OYrA4BA6YfGq/oaja5T1YQp+PtPM2NTQjnQXJKf+XsIJUZ0=,"2,416",14,10,7,9,737,3,2,0,0,0,
5,Done,wilaipaireview,https://www.tiktok.com/@wilaipaireview,12.7K,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 11:00,ZUS Coffee สาขาเปิดใหม่ สาขาที่ 22 พิกัด cloud 11 โปรพิเศษ 1 แถม 1 เฉพาะผู้ใช้งานใหม่ครั้งแรกเท่านั้น  #ZUSCoffee #ZUSCoffeeTH #Cloud11 ,https://drive.google.com/drive/folders/1bkxugA7V8O1NALbpeXDsHn-lqcVQ7uAy,ผ่าน,ผ่าน,,,,,,,"IG Reels: https://www.instagram.com/reel/DbARgJby2QM/
IG Story: https://www.instagram.com/stories/wilaibhorn_kh/3945237838036131418
IG Post: https://www.instagram.com/p/DbAU86Gknsh/
TikTok Video: https://vt.tiktok.com/ZSXQ9EXc5/",Gen Code (TikTok): #+AGXia0YwSdObSOVpe3QsYaC89+Dp4xkFsFiDx0bjZ8+Wm4ZipU5z4elSZgTfQg=,"2,773",26,13,6,12,479,8,0,0,1,0,
