Status,Project,,,,,,,,,,,,,,,,,,,,Campaign Summary (Updated 6/7/2569),,,,,,,,,,,,
In Process,Molly Tea Truck (Mega Bangna),,,,,,,,,,,,,,,,,,,,Followers,,Cost,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total View,,Cost/View,,,,,,,,,,
,,,,,,0,16,,,,,*** Molly Tea กรอก ***,,,*** Molly Tea กรอก ***,,,,,,Total Reach,,Cost/Reach,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total Engagement,,Cost/Engagement,,,,,,,,,,
No.,Status,Tiktok Channel,Tiktok Link,Followers TT,KOL Confirm,Foxtells Confirm,Molly Tea Confirm,วันและเวลาเข้าถ่าย,Caption,Draft 1,Foxtells Suggestion (Draft 1),Molly Tea Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Molly Tea Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Client Comment (Draft 3),Link Post,Gen Code,Tiktok - View,Tiktok - Reach,Tiktok - Like,Tiktok - Share,Tiktok - Save,Tiktok - Comment,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
1,Non-selected,leeview._,https://www.tiktok.com/@leeview._,"10,900",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
2,Non-selected,foonfonn,https://www.tiktok.com/@foonfonn,"28,600",TRUE,,FALSE,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
3,Non-selected,kaipaoph7iv,https://www.tiktok.com/@kaipaoph7iv,"5,967",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
4,Non-selected,gracetyp,https://www.tiktok.com/@gracetyp,"15,900",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
1,Done,feel_wa,https://www.tiktok.com/@feel_wa,"3,371",TRUE,,TRUE,"Mega Bangna
8 มิ.ย. 69 - 12.00","ล่าสุด Molly Tea เปิด Pop-Up Store ที่ Mega Bangna เป็น Molly Tea Truck มีโปรส่วนลด 12% สำหรับผู้ติดตามช่อง Feel wa อีกด้วย 💖

#mollytea #mollyteaTH #mollyteatruck
#รถดั้มม์ฟีลว่าอยากแนะนำ",https://drive.google.com/drive/folders/1bEErZtlRgmTMqN4k3DBFXtmNH0RdM_K2,"- 0.32 เปลี่ยนจากคำว่า LINE OA เป็น บ้านเขียว เพื่อป้องกันการถูกลดการมองเห็น

- รบกวนเติม Background Music คลอๆสไตลือินฟลูฯ","0.01 Snowy Jasmine (คำสะกด)
 วีดิโอส่วนอื่นๆ โอเคค่ะ แต่ไม่แน่ใจว่าสามารถเปลี่ยนฟุตที่เห็นแก้วใส เป็นฟุตอื่นได้ไหมคะ เนื่องจากปัญหาที่ต้องใช้แก้วใสติดสติกเกอร์ทดแทนแก้วหลักชั่วคราว เลยอยากให้เห็นแก้วใสน้อยลงค่ะ ",https://drive.google.com/file/d/1bWwpY-PMDxwO59a9n8cGT-8ekc-VqvX7/view?usp=drivesdk,ผ่าน,approved,,,,"TikTok Video: https://vt.tiktok.com/ZSQgb2Aev/
IG Reels: https://www.instagram.com/reel/DZq6AtESNfy/",TikTok Video: #VgSaVbq7MNNsbkgRy9NndsIuZ8pfFJ0XczV2XfRqDN/U7QyK1WSwCxB0aGJQ784=,"7,035",4600,323,9,32,54,2057,194,6,7,0,0,8 June
6,Non-selected,gaga.rpu,https://www.tiktok.com/@gaga.rpu,"9,868",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
