                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process,ZUS Buttercreme 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,,,,0,,,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,Average Engagement,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Repost,Reels - Share,Reels - Save,Note
,Done,goagain25,https://www.tiktok.com/@goagain25,12.2K,,,TRUE,,TRUE,"สาขาวานิช เพลส อารีย์
1 พ.ค. 69 - 10:00",ขำแรงแค่ไหนมาขำที่ ZUS COFFEE กับแคมเปญ 5.5 ขำปุ๊ปลดปั๊บ ทุกเมนู ยกเว้น Frappe เหลือ 55 บาท ตั้งแต่วันที่ 5-7 พ.ค. นี้ ที่ ZUS COFFEE ทุกสาขาเลย ไปขำกันเยอะๆ น้า #zuscoffee #zuscoffeeth #โปร55บาท @zuscoffee.th,https://drive.google.com/file/d/1aKaYXI5calyNTKW3xs8Zs_CAjcKT8cNS/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok: https://vt.tiktok.com/ZS94CoNta/
Reels: https://www.instagram.com/reel/DX9C60tTDsd/
FB: https://www.facebook.com/share/r/1EmiBb5MCd/",#ENLi6tsGxs8bWssBZlOkMBSqJ44Kn8nPf9/JJoW1AfT2fUx1Zc7znc577TBw7Ak=,972,144,2,0,0,"1,247",40,3,0,0,0,
,Done,minixx_t,https://www.tiktok.com/@minixx_t,13.5K,,,TRUE,,TRUE,"สาขา Central Ladprao
1 พ.ค. 69 - 14:00","📍ZUS Coffee ทุกสาขา
📅 5–7 พ.ค. นี้เท่านั้น

#ZUSCoffee #โปร55บาท #ซำปุ๊ปลดปั๊ป #สายคาเฟ่ต้องลอง",https://drive.google.com/drive/folders/1JyHw3gukNo8aCS5UiC9W0UJLjWBpIdRo,ผ่าน,ผ่าน,,,,TikTok: https://vt.tiktok.com/ZS9bcuAtX/,#A4mEjnUOPx6NxLpcED+ejRiKYe6UpKaHZdkXGmP3kENG2hADCUZxvjEpSD8/8eI=,"3,385",234,14,98,11,"1,196",166,1,20,0,0,
,,pat_inpactech,https://www.tiktok.com/@pat_inpactech,12.8K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,papainhaii,https://www.tiktok.com/@papainhaii,19.7K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,bameakiaw,https://www.tiktok.com/@bameakiaw,29K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,aummntww,https://www.tiktok.com/@aummntww,35.5K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,wilaipaireview,https://www.tiktok.com/@wilaipaireview,12.1K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,withpeach.ewp,https://www.tiktok.com/@withpeach.ewp,114K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,kwonmabells,https://www.tiktok.com/@kwonmabells,13.9K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,jahismmm,https://www.tiktok.com/@jahismmm,48.3K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,grapeess,https://www.tiktok.com/@grapeess,"3,203",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,Done,best.lingnoii,https://www.tiktok.com/@best.lingnoii,47K,,,TRUE,,TRUE,"สาขาวานิช เพลส อารีย์
2 พ.ค. 69 - 10:00",โปรน่ารักมาก รีบไปกันด่วนนน ‼️#zuscoffee #zuscoffeeth #โปร55บาท @zuscoffee.th,https://drive.google.com/drive/folders/1sNtr4RPsOLp3frgdif2MseKYe39sJ1RP,ผ่าน,ผ่าน,,,,"TikTok: https://www.tiktok.com/@best.lingnoii/video/7636452981214563602
IG Reels : https://www.instagram.com/reel/DX91MnhzE-D/?igsh=MXJ1OHRpOXd2NXMzNA==
IG Story : https://www.instagram.com/stories/best.lingnoii/3890500518431418394?utm_source=ig_story_item_share&igsh=MWYyZW9lZTluMTVkaQ==
",#7k+8JasLh+IL0d9ed7ZZql8eYcQDD6TlNn5LJk4W+qpAQ5e4Uj2Pm+/wDOvutKE=,"1,474",147,3,4,5,241,1,0,0,0,0,
,,sunbeam.diary,https://www.tiktok.com/@sunbeam.diary,"8,072",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,graphic.review,https://www.tiktok.com/@graphic.review,31.3K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,saintststt,https://www.tiktok.com/@saintststt,144.1K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,nadia_ndi,https://www.tiktok.com/@nadia_ndi,119.6K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,bbeembenja,https://www.tiktok.com/@bbeembenja,21.9K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,mmilkmili,https://www.tiktok.com/@mmilkmili,137.8K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,y.yaimai,https://www.tiktok.com/@y.yaimai,48.9K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,nornanreview,Https://www.tiktok.com/@nornanreview,66.3K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,superlinllyn,https://www.tiktok.com/@superlinllyn,"8,469",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,mycookiehouse,http://www.tiktok.com/@mycookiehouse,23.6K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,thomas_suii,https://www.tiktok.com/@thomas_suii,145.6K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,miteen88,https://www.tiktok.com/@miteen88,"1,798",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,haendibaee,https://www.tiktok.com/@haendibaee,79K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,giftounsaimoo,www.tiktok.com/@giftounsaimoo,35.7K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,vousbeemvoyez,https://www.tiktok.com/@vousbeemvoyez,13.3K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,alek_store,https://www.tiktok.com/@alek_store,50.5K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,mu_am_,https://www.tiktok.com/@mu_am_,12.1K,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,Done,pallyproud,https://www.tiktok.com/@pallyproud,60.6K,,,TRUE,,TRUE,"สาขา Central Westgate
1 พ.ค. 69 - 14:00","ความสุขง่ายๆ เริ่มที่เสียงหัวเราะ 😄
5.5 นี้ กาแฟ Zus Coffee เหลือเพียง 55 บาท 🥤✨ #zuscoffee #zuscoffeeth #โปร55บาท @zuscoffee.th",https://drive.google.com/file/d/1aWWQCKz-pH7B-OmefWdbFlBlW5Zcm3ui/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok: https://vt.tiktok.com/ZS94SyC1N/
Reels: https://www.instagram.com/reel/DX8xEl7RhIN/
IG Post : https://www.instagram.com/p/DX8qnL7x5b9/",#BZFH0ohoH555X7fTxXpjHZX2v3SA+VUDVZyI+On2Q5MlSUiuCvt+wDj3XLMOu3Q=,"2,746",252,75,9,20,"3,694",555,34,3,0,0,
