                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Done,ZUS MysteryBox Hippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,
,,,,"3,476,897","416,389","23,450",,,,,,0,0,79,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
1,Done,ninew.kwanchanok,https://www.tiktok.com/@ninew.kwanchanok,"265,900",668,71,57,8.6,6,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00","วันนี้มาลุ้น ZUS Buddy Hippers Collection 💙☕

ซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี Hippers 1 ซอง 🎁

นินิวได้น้อง Frappe Fren ส่วนน้องสาวอยากได้ Pinky Boo แล้วเปิดได้จริงด้วย 🥹✨ น่ารักจนต้องเอามาติดโทรศัพท์เลย

📱 สั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery
📍 ZUS Coffee ทุกสาขา
📅 3 - 12 มิถุนายนนี้

#zuscoffee #zuscoffeeth #ZUSBuddyHippers #HippersCollection #BlindBoxReview",https://drive.google.com/file/d/1YJsCr_LTVSvEsbUxSMB_9ISr8aEAU83t/view?usp=drivesdk,"0.15, 0.19, 0.23 - อ่านว่า บัตเตอร์-เคร็ม

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","1. 0.15, 0.19, 0.23 - อ่านว่า บัตเตอร์-เคร็ม
2. 1.03 ขึ้น text โปรโมชั่น


(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/file/d/1Nl5Bv8yz6zW4d1W65APkKnJXl7XCyJUj/view?usp=drivesdk,ผ่าน,"ผ่าน
ฝากเช็คคุณภาพความชัดวิดีโอก่อนค่า","TikTok Video: https://vt.tiktok.com/ZSQMv33dc/
IG Reels: https://www.facebook.com/share/r/1L96tkkKUb/
IG Post: https://www.instagram.com/reel/DZUtwi1jsmV/
IG Story: https://www.instagram.com/stories/ninew.kj/3914956474623267743","TikTok Video: #Lut56Czm0TgcanqlFQLDWRk+fBlpmJlfVRASr/kVotw0ow3qOIFc6TvZ5kr5G3s=
Facebook: fbadcode-Q_GkBQ1WhcHqzYqiF-8vrCz4kIa4Qvv2cDMbk7NNMCr1wvgzdyScMU8W2DBhLDXpvXE","11,300",397,6,8,2,"1,100",30,18,0,0,0,
2,,difla_darlene,https://www.tiktok.com/@difla_darlene,"2,713",369,10,8,0.7,1.6,TRUE,FALSE,,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,
3,Done,acafeinmemories,https://www.tiktok.com/@acafeinmemories,"1,147",821,38,35,0.3,2.7,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 18:00","ZUS Coffee เค้ามีกล่องสุ่มแล้ว เพียงซื้อเครื่องดื่มเมนูอะไรก็ได้ ตั้งแต่ 80 บาท ขึ้นไปต่อใบเสร็จ ก็รับไปเลยน้อง ZUS Hippers 1 ชิ้นต่อบิล สายจุ่ม รีบเลย ที่ ZUS Coffee ทุกสาขา วันที่ 3-12 มิ.ย. 69

#zuscoffee #zuscoffeethailand @zuscoffee.th",https://drive.google.com/drive/folders/1O8whRN-VhS3pbFMEz4c4100I3B9qqeds,-,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQ8Mss7X/
IG Reels: https://www.instagram.com/reel/DZNNupCzi5P/
IG Post: https://www.instagram.com/p/DZNOWnKE7uo/
IG Story: https://www.instagram.com/stories/acafeinmemories/3912848911086362166",-,"1,436",18,0,2,8,206,2,0,0,0,0,
4,Done,pangfoonberryps,https://www.tiktok.com/@pangfoonberryps,"17,200","4,587",328,215,7,106,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
27 พ.ค. 69 - 19:00","☕🎁 เริ่มจากซื้อกาแฟ 1 แก้ว…จบที่ลุ้นกล่องสุ่ม 2 รอบ! 🤣

รอบแรกแป้งได้ แฟรบเป้เฟรน น่ารักมากกก แต่ใจมันเรียกร้อง เลยจัดอีกรอบ 😆

และผลคือ… พิงกี้บูมาแล้ววว! 💖✨

ใครเป็นสายจุ่มเหมือนแป้ง ระวังโดนตกแบบนี้นะ 😂

📍ซื้อเครื่องดื่ม ZUS Coffee ครบ 80 บาท/บิล
🎁 รับฟรี Hyper Collection 1 ซอง
☕ 1 บิล 80 บาท = 1 สิทธิ์ลุ้น
📅 3 - 12 มิถุนายนนี้
📱 สั่งได้ทั้ง Pick Up และ Delivery

แล้วทุกคนอยากได้ตัวไหนที่สุด? คอมเมนต์บอกกันหน่อย 👇💕
ตั้งแต่วันที่ 3-12 มิถุนายนนี้เท่านั้นน #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/file/d/1n58DM7RhLWJ91D53TZRN4AQwwRA4ETAR/view?usp=drive_link,"0.21 - เขียนเป็น Freppe Fren แทน
0.30 - เขียนเป็น Pinky Boo แทน",ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSxwYQnjJ/
IG Reels: https://www.facebook.com/share/r/1D2oRYYaWu/
IG Post: https://www.instagram.com/reel/DZFcz38ywpk/
IG Story: https://www.instagram.com/stories/pangfoonberry/3910659016725019738",TikTok Video: #9GqwmKx2dvKc0UR3DLeR7gYEzIXSZAstN+xKh6T4WqgE1GqauOcyx+5QjmPCXbg=,"2,437",50,1,3,47,969,2,1,0,0,0,
5,,chanaddatye,https://www.tiktok.com/@chanaddatye,58,381,18,17,0.8,0.8,TRUE,FALSE,,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 16:00",,,,,,,,,,,,,,,,,,,,,
