                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
Status,Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Done,ZUS MysteryBox WIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1,957,672","795,651","182,693",,,,,,0,0,62,,,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Confirm,Zus Coffee Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Zus Coffee Comment (Draft 3),Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
1,Done,giftster___,https://www.tiktok.com/@giftster___,"6,593","2,790",265,243,10,12,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
9 มิ.ย. 69 - 10:00","จะได้ Secret มั้ยมาลุ้นกัน..
Zus coffee เค้ามีกล่องสุ่มให้ลุ้นกันละนะ
ไปลุ้นกันได้ทุกสาขา ☕️ 
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1LmHnynf3sKa9FDF37bRCB7FyT5Nm-WTG,"- 0.00/0.30/031 ออกเสียงว่า เซน-ฉะ (ขออภัยนะคะ ในบรีฟเขียนผิด ถ้าแก้ไม่ได้เขียน Text ก็ได้ค่ะ)
- 0.13 เขียนผิด รบกวนแก้ไขจาก ""ซื้อเครื่องดื่มครับ"" เป็น"" ซื้อเครื่องดื่มครบ""","- 0.00/0.30/031 ออกเสียงว่า เซน-ฉะ (ขออภัยนะคะ ในบรีฟเขียนผิด ถ้าแก้ไม่ได้เขียน Text ก็ได้ค่ะ)
0.32 เอารูปในบรีฟออกค่ะ
- 0.13 เขียนผิด รบกวนแก้ไขจาก ""ซื้อเครื่องดื่มครับ"" เป็น"" ซื้อเครื่องดื่มครบ""",https://drive.google.com/drive/folders/1LmHnynf3sKa9FDF37bRCB7FyT5Nm-WTG,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQu8B7ef/
IG Reels: https://www.instagram.com/reel/DZgv1l6PqDi/
IG Post: https://www.instagram.com/reel/DZgv1l6PqDi/
IG Story: https://www.instagram.com/reel/DZgv1l6PqDi/",TikTok Video: #pzIKjzTJ2I/CveryuN6EzFPrmmKqsc0bSqcaovJAi2Gu1CzpbkjcNJ+zz7kS6ME=,261,20,0,0,0,"1,921",41,4,1,0,0,
2,,xviii__8,https://www.tiktok.com/@xviii__8,"10,600",99,5,4,0,1,TRUE,FALSE,,"สาขา Central พระราม 9
8 มิ.ย. 69 - 16:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
3,Done,puancyn,https://www.tiktok.com/@puancyn,"4,888","1,712",30,22,2.05,5.8,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
14 มิ.ย. 69 - 20:00",ซื้อครบ150฿ รับฟรีกล่องจุ่มไปเลย 1 กล่อง✨,https://drive.google.com/file/d/18srSPw8QK3E2EY0OGklcVHlLl9wZP5m-/view?usp=drivesdk,,"0.42 แก้ว้อยซ์ ช้อคโก้ชิปส์เตอร์ 
0.51 เติม ปี 69 ในช่วสงเวลาค่ะ
ตอนลงอาจจะเพิ่มเพลงค่า",https://drive.google.com/file/d/1Ob3ssZAdBNP2g4hlpB1hxM601GMmqRGw/view?usp=drivesdk,ผ่าน,0.20 แก้จากกลุ่มเป็นกล่องค่ะ แก้แล้วผ่านได้เลยค่ะ,,,,"TikTok Video: https://vt.tiktok.com/ZSQtTgf37/
IG Reels: https://www.instagram.com/reel/DZuU2CAT2X0/
IG Post : ",#GY0wGNle4bzultMLntcg3dQ3nqulLgBG3EpNaOYMTOyfOf6Icx3baujyFGGVgJg=,"1,230",25,2,0,6,37,0,0,0,0,0,
4,,difla_darlene,https://www.tiktok.com/@difla_darlene,"2,713","2,713",377,369,8,0.7,TRUE,FALSE,,"สาขาวานิช เพลส อารีย์
8 มิ.ย. 69 - 14:00",,,,,,,,,,,-,-,,,,,,,,,,,,
5,Done,paphapaa,https://www.tiktok.com/@paphapaa,"15,800",877,82,80,1,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 12:00","Zus มีกล่องสุ่มด้วยยยย
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1mOVuXrF4XHTLsoW8B48nTLXQzpqX1kIN,"- ขอขึ้นต้นด้วยคลิปจากวินาที 0.20 ที่เห็นน้องน่ารักๆได้มั้ยนะค้า 
- 0.05 เพิ่ม Text ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี! กล่องสุ่ม 1 กล่อง
- 0.14 เพิ่ม Text ตั้งแต่ 13-21 June 2026
","- ขอขึ้นต้นด้วยคลิปจากวินาที 0.20 ที่เห็นน้องน่ารักๆได้มั้ยนะค้า 
- 0.05 เพิ่ม Text ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี! กล่องสุ่ม 1 กล่อง
- 0.14 เพิ่ม Text ตั้งแต่ 13-21 June 2026
- ตอนลงใส่เพลง
",https://drive.google.com/drive/folders/1mOVuXrF4XHTLsoW8B48nTLXQzpqX1kIN,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQuQjdYq/
IG Reels: https://www.instagram.com/reel/DZgz3tDzhvo/
IG Post: https://www.instagram.com/p/DZhEZMLk4-1/
IG Story: https://www.instagram.com/stories/paphapa/3918441232145871259",TikTok Video: #hD9KWT0j/47rN+FiaK/EScHZVnZG+Xrz7+XsgCaOFQJ06zx0JyONE4vqX/4iGII=,"1,225",72,2,1,0,699,25,0,0,0,0,
