List,IG - View (Post),IG - Like (Post),IG - Comment (Post),IG - Share (Post),IG - Repost (Post),IG - Save (Post),IG - View (Reels),IG - Like (Reels),IG - Comment (Reels),IG - Share (Reels),IG - Repost (Reels),IG - Save (Reels),TT - View,TT - Like,TT - Comment,TT - Save,TT - Share
redprice50,,,,,,,15300,248,0,2,0,0,98800,126,0,25,26
chatangg,,,,,,,1452,30,4,0,0,0,7353,109,11,7,0
tamjaipaikin,,,,,,,235,4,0,2,0,0,2715,62,11,10,33
bravebie,,,,,,,2288,51,0,4,0,0,8370,281,4,48,95
ducky.jesse,,,,,,,287,11,0,0,0,0,1229,126,10,2,2
pat_inpactech,,,,,,,559,0,1,0,0,0,1511,206,5,7,10
jerryb1999,,,,,,,436,7,0,0,0,0,482,31,3,2,0
gowithlove0,,,,,,,606,27,15,2,0,0,344,32,14,0,2
wilaipaireview,,,,,,,531,7,1,1,0,0,1445,34,21,9,4
nichapa.upt,,,,,,,2041,17,1,0,0,0,12400,108,1,9,6
